Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,80.83,80.91,80.7,81.2,81.64,81.99,82.41,82.43,82.05,80.93,80.98
Gross Margin,19.17,19.09,19.3,18.8,18.36,18.01,17.59,17.57,17.95,19.07,19.02
SG&A,,,14.0,13.89,13.89,14.27,14.18,15.04,14.28,15.36,15.25
R&D,,,,,,,,,,,
Other,14.16,14.01,,,,,,,,,
Operating Margin,5.01,5.08,5.31,4.91,4.46,3.73,3.41,2.53,3.67,3.71,3.76
Net Int Inc & Other,-0.24,-0.28,-0.34,-0.26,-0.25,-0.25,-0.24,-0.45,-0.83,-0.52,-0.53
EBT Margin,4.77,4.81,4.97,4.65,4.21,3.48,3.17,2.07,2.85,3.19,3.23
