Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,,47.95,55.66,25.2
Days Inventory,,,,,,,,,139.58,72.09,45.95
Payables Period,,,,,,,,,231.58,75.59,48.18
Cash Conversion Cycle,,,,,,,,,-44.05,52.15,22.97
Receivables Turnover,,,,,,,,,7.61,6.56,14.48
Inventory Turnover,,,,,,,,,2.62,5.06,7.94
Fixed Assets Turnover,,,,,,,,,0.32,0.45,0.99
Asset Turnover,,,,,,,,,0.01,0.04,0.08
