Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,38.2,38.84,37.96,37.15,38.51,37.81,37.29
Gross Margin,,,,,61.8,61.16,62.04,62.85,61.49,62.19,62.71
SG&A,,,,,57.41,55.27,53.9,56.55,46.33,43.27,41.23
R&D,,,,,,,,,,,
Other,,,,,,,,,,,0.05
Operating Margin,,,,,4.39,5.89,8.14,6.3,16.38,19.14,21.62
Net Int Inc & Other,,,,,-12.84,-8.65,-8.02,-0.99,-3.77,-3.96,-3.42
EBT Margin,,,,,-8.45,-2.76,0.12,5.31,12.61,15.18,18.2
