Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,1496.83,-70.17,,,,,
3-Year Average,,,,,,,,-3.04,,,
5-Year Average,,,,-37.73,,,,,,-5.22,
10-Year Average,,,,,4.72,-11.13,,4.25,,,
