Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-11.86,-37.86,-73.12,510.24,2.23,-6.8,-22.89,81.7,-12.07,19.26,
3-Year Average,2.35,-16.29,-47.2,0.64,18.8,79.81,-9.77,9.3,7.2,23.97,
5-Year Average,22.24,-3.03,-29.11,-0.77,-1.69,-0.59,3.8,52.12,3.26,6.49,
10-Year Average,26.41,9.96,-6.25,10.72,9.64,10.24,0.33,3.85,1.22,2.32,
