Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,45.59,-11.74,41.38,-6.62,-17.6,35.85,4.57,-12.81,18.1,
3-Year Average,,,89.24,22.02,5.23,2.84,1.49,5.39,7.4,2.5,
5-Year Average,,4.88,17.67,,55.0,6.93,5.46,9.1,-0.96,3.81,
10-Year Average,,7.48,0.38,9.26,14.57,,5.17,13.3,,26.85,
