Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,0.22,10.87,5.81,-8.66,-11.54,14.91,6.95,35.99,6.1,14.07,
Free Cash Flow Growth % YOY,-0.89,28.59,9.22,-10.32,-12.58,14.08,7.8,34.91,11.6,12.92,
Cap Ex as a % of Sales,8.58,4.48,3.62,3.85,3.64,3.99,3.71,5.0,3.0,3.64,3.64
Free Cash Flow/Sales %,27.99,35.43,39.65,34.59,29.21,30.08,29.97,37.64,38.91,41.39,45.32
Free Cash Flow/Net Income,1.31,1.31,1.26,1.13,1.24,1.2,1.1,1.46,1.21,1.23,1.28
