Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,258.92,-9.69,49.26,35.75,-24.2,-8.66,30.58,-1.85,
Free Cash Flow Growth % YOY,,,,,112.4,47.03,-29.59,-25.88,26.56,-46.97,
Cap Ex as a % of Sales,,4.27,6.33,1.94,1.5,1.66,1.2,1.51,2.77,4.56,3.75
Free Cash Flow/Sales %,,-3.22,-0.96,1.6,2.7,3.79,2.19,1.66,2.86,1.73,3.05
Free Cash Flow/Net Income,,-1.73,-0.97,1.61,0.89,0.92,1.04,0.65,0.72,0.93,1.32
