Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,7.74,-11.38,50.68,32.29,25.76,28.03,26.95,21.72,24.93,17.01,11.03
3-Year Average,9.99,0.69,12.89,20.88,35.84,28.67,26.91,25.54,24.52,21.18,
5-Year Average,16.9,9.98,12.18,15.26,19.07,23.25,32.44,26.9,25.46,23.66,
10-Year Average,19.88,15.35,17.1,19.42,19.4,20.03,20.68,19.32,20.25,21.35,
