Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,984.0,,,,,
Free Cash Flow Growth % YOY,,,,,,890.0,,,,,
Cap Ex as a % of Sales,3.85,3.41,2.73,2.73,2.64,2.95,3.6,3.54,3.54,3.54,3.37
Free Cash Flow/Sales %,15.08,4.87,24.29,27.91,37.34,36.94,46.15,32.55,38.28,38.07,36.28
Free Cash Flow/Net Income,0.56,-0.96,0.85,0.84,1.32,0.99,1.23,0.85,0.97,1.01,0.94
