Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,10.04,-0.41,5.54,-2.25,-2.12,-12.28,-4.3,-22.54,50.53,10.95,9.93
3-Year Average,5.75,7.79,4.97,0.91,0.33,-5.67,-6.34,-13.37,3.72,8.96,
5-Year Average,7.26,4.08,4.45,5.26,2.05,-2.48,-3.25,-9.05,-0.85,1.66,
10-Year Average,12.27,10.86,9.33,6.4,5.0,2.28,0.35,-2.54,2.16,1.85,
