Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,102.44,35.09,-4.94,-47.8,66.08,-23.14,46.32,-23.48,-19.26,-31.78,
3-Year Average,41.89,46.9,37.5,-12.48,-6.25,-12.66,23.15,-4.88,-3.31,-25.03,
5-Year Average,26.66,35.55,29.69,9.48,17.65,-3.07,-1.51,-5.69,2.9,-13.87,
10-Year Average,13.57,11.62,20.33,,40.78,10.8,15.54,10.59,6.14,0.66,
