Key Net Income %,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Year over Year,,,49.06,-47.57,-51.15,147.46,,,,,
3-Year Average,,,25.47,-3.99,-27.45,-14.1,,-16.6,,,
5-Year Average,,,19.24,1.31,-12.74,1.36,,-28.47,,,
10-Year Average,,,13.39,7.97,17.32,60.77,,-10.68,,,
