Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,42.47,-33.17,266.91,42.35,-4.55,4.18,62.74,97.28,47.15,
Free Cash Flow Growth % YOY,,25.69,-40.88,432.1,42.46,-26.38,7.52,57.61,125.2,55.83,
Cap Ex as a % of Sales,2.42,4.18,3.91,3.77,4.79,10.19,9.37,9.58,8.69,5.46,6.08
Free Cash Flow/Sales %,7.14,8.06,5.46,20.59,26.28,19.12,19.29,17.94,25.28,20.3,29.03
Free Cash Flow/Net Income,-0.69,1.65,-1.84,1.04,1.11,0.8,0.88,2.91,1.26,-1.55,9.31
