Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,-86.76,1907.44,169.41,20.86,38.13,22.15,18.14,9.36
3-Year Average,,,,,,92.74,302.82,65.07,26.81,25.85,
5-Year Average,,,-46.65,-62.73,,,,64.25,156.16,45.36,
10-Year Average,,,-11.69,-29.1,-7.78,-2.36,-5.42,-6.39,-2.3,,
