Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,8.07,17.6,46.63,24.85,16.17,20.76,5.61,10.82,9.14,10.97,13.33
3-Year Average,12.5,15.02,23.06,29.13,28.6,20.54,14.0,12.22,8.5,10.31,
5-Year Average,4.96,5.76,19.68,22.74,22.0,24.74,22.08,15.44,12.37,11.35,
10-Year Average,7.97,8.47,11.02,13.63,15.11,14.42,13.63,17.54,17.44,16.55,
