Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,85.75,76.65,75.38,67.92,78.66,63.1,63.34,63.51,68.41,75.18,80.24
Gross Margin,14.25,23.35,24.62,32.08,21.34,36.9,36.66,36.49,31.59,24.82,19.76
SG&A,7.93,8.42,9.17,8.61,,121.66,49.42,27.15,23.09,19.41,29.77
R&D,,,,,,,,,,,
Other,99.34,11.54,12.89,13.89,-597.8,,-22.91,7.87,10.26,18.68,25.64
Operating Margin,-14.1,0.69,8.02,15.56,-16.59,-59.37,10.15,3.54,4.25,-11.07,-12.22
Net Int Inc & Other,76.62,-9.76,-5.41,-2.97,-795.77,-32.04,-10.57,-19.93,-22.88,-30.86,-24.14
EBT Margin,62.52,-9.07,2.61,12.58,-812.36,-91.41,-0.42,-16.39,-18.63,-41.93,-36.36
