Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-51.57,-68.57,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,100.18,62.48,49.38,2.63,3.78,1.13,7.57,3.7,20.87,7.53,29.39
Free Cash Flow/Sales %,-39.5,-43.65,-44.41,-45.6,-33.37,-15.23,-14.29,-34.88,-165.68,-22.65,-137.91
Free Cash Flow/Net Income,2.24,-5.5,0.39,1.09,1.08,0.62,-3.01,2.16,1.89,4.37,0.4
