Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,15.48,-15.27,18.34,13.45,15.87,0.83,-26.53,-44.83,5.74,20.49,-113.14
3-Year Average,22.65,8.33,5.01,4.39,15.87,9.85,-4.96,-25.79,-24.6,-11.08,
5-Year Average,36.31,16.94,13.09,11.28,8.76,5.85,2.88,-11.68,-12.92,-12.23,
10-Year Average,46.6,47.85,35.28,29.07,27.46,20.12,9.68,-0.06,-1.56,-2.3,
