Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,9.45,53.28,-27.76,34.86,-10.84,14.32,
Free Cash Flow Growth % YOY,,,,,25.91,43.0,-72.8,215.66,12.96,27.29,
Cap Ex as a % of Sales,,,,8.51,6.08,8.85,12.27,9.29,5.52,4.41,4.15
Free Cash Flow/Sales %,,,,12.13,12.68,15.11,3.82,11.63,13.15,16.03,19.46
Free Cash Flow/Net Income,,,,0.88,0.85,0.97,0.26,0.82,1.03,1.15,1.26
