Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,26.27,27.39
Net Margin %,,,,,,,,,,13.39,10.83
Asset Turnover (Average),,,,,,,,,,1.02,1.08
Return on Assets %,,,,,,,,,,13.67,11.69
Financial Leverage (Average),,,,,,,,,1.72,1.84,1.84
Return on Equity %,,,,,,,,,,25.13,21.49
Return on Invested Capital %,,,,,,,,,,21.63,18.91
Interest Coverage,,,,,,,,,,27.79,17.89
