Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.53,-15.79,7.29,41.75,28.08,-0.53,-3.23,-18.33,35.37,71.36,-2.38
3-Year Average,14.98,1.06,2.02,8.6,24.89,21.78,7.23,-7.71,2.28,23.74,
5-Year Average,17.0,5.34,6.55,9.44,14.03,10.29,13.4,7.37,6.39,12.77,
10-Year Average,16.98,11.1,5.38,12.0,13.23,13.59,9.3,6.96,7.9,13.4,
