Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,49.31,14.3,10.59,14.05,30.62,20.99,9.01,9.72,10.45,12.0,15.42
3-Year Average,71.17,43.63,23.58,12.97,18.11,21.7,19.88,13.11,9.73,10.72,
5-Year Average,57.93,56.43,44.68,30.17,22.97,17.9,16.79,16.61,15.86,12.35,
10-Year Average,35.58,34.36,31.8,32.24,33.85,36.46,35.17,29.89,22.81,17.54,
