Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,46.0,,,,,,,-834.0,,,
Free Cash Flow Growth % YOY,,,-78.0,,,,,,,,
Cap Ex as a % of Sales,11.31,10.79,9.85,16.22,32.66,63.66,49.06,46.11,65.86,46.47,35.06
Free Cash Flow/Sales %,-0.22,0.31,0.43,-2.84,-9.43,-17.44,-8.15,-7.08,-35.67,-30.06,-17.66
Free Cash Flow/Net Income,-0.04,0.05,0.17,-0.45,-1.19,-1.05,-0.19,-0.35,0.77,0.24,0.15
