Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,4.08,-31.0,46.46,28.89,-31.96,12.54,51.64,6.59,3.23,42.31,
Free Cash Flow Growth % YOY,2.1,-45.35,96.06,13.29,-27.09,18.34,42.53,1.46,13.1,52.21,
Cap Ex as a % of Sales,6.74,11.33,5.02,8.37,4.51,3.21,5.85,6.96,4.5,2.21,3.24
Free Cash Flow/Sales %,36.45,22.84,42.67,30.81,24.15,25.0,29.18,26.63,29.75,28.88,31.92
Free Cash Flow/Net Income,1.27,0.84,1.86,1.09,0.99,3.1,1.43,1.55,1.99,5.98,1.97
