Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-6.2,7.2,-7.64,7.2,28.08,-11.97,-22.18,6.76,-1.71,-69.78,
3-Year Average,4.48,-0.3,-2.44,2.0,8.24,6.52,-4.26,-9.9,-6.53,-31.81,
5-Year Average,11.65,7.72,2.46,-0.38,4.98,3.66,-2.77,0.08,-1.64,-26.31,
10-Year Average,,,,,11.07,7.58,2.34,1.27,-1.01,-12.05,
