Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,-143.81,,,,,,,,,,
Asset Turnover (Average),0.19,,,,,,,,,,
Return on Assets %,-27.6,-48.41,-27.53,-15.84,-8.95,-29.36,-7.64,-7.22,-10.17,13.43,13.43
Financial Leverage (Average),1.39,1.09,1.04,1.04,1.12,1.06,1.07,1.07,1.06,1.13,1.13
Return on Equity %,-37.66,-59.43,-29.25,-16.49,-9.67,-32.15,-8.16,-7.74,-10.88,14.78,14.78
Return on Invested Capital %,-28.88,-51.53,-29.33,-17.04,-9.75,-32.81,-8.29,-7.73,-10.98,14.57,14.57
Interest Coverage,-17.78,,-336.42,-218.52,-59.14,-589.53,-49.63,-191.5,-359.54,961.18,961.18
