Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,54.52,-20.66,178.57,47.85,-13.44,35.0,63.78,81.02,9.34,12.08,18.5
3-Year Average,21.7,,50.59,48.4,52.77,19.99,24.16,58.77,48.0,30.42,
5-Year Average,,10.95,31.85,,34.31,30.73,51.12,38.64,30.52,37.44,
10-Year Average,17.46,9.25,18.23,,,,29.49,35.2,,35.87,
