Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-30.06,37.17,25.8,4.74,21.53,-2.15,-26.34,-12.31,17.22
3-Year Average,,,,,6.47,21.81,16.99,7.6,-4.32,-14.18,
5-Year Average,,,,,,,8.97,16.54,2.91,-4.26,
10-Year Average,,,,,,,,,,,
