Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,898.0,29.0,,797.0,-523.0,,-521.0,,342.0,-43.0,
Free Cash Flow Growth % YOY,915.0,-383.0,,,,,,,425.0,-573.0,
Cap Ex as a % of Sales,3.73,3.99,4.28,3.98,4.39,4.53,4.74,4.82,4.69,5.09,5.09
Free Cash Flow/Sales %,10.39,9.56,11.96,12.01,9.83,10.94,9.41,10.16,10.14,9.34,9.34
Free Cash Flow/Net Income,1.06,0.99,1.19,1.14,0.91,0.98,0.83,0.89,0.87,0.79,0.79
