Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,0.12,171.76,1.48,-37.46,76.54,191.97,-34.04,5.71,,,
3-Year Average,66.84,97.86,40.29,19.93,3.87,47.73,50.37,26.74,,13.87,
5-Year Average,22.56,65.98,66.53,37.51,24.98,54.81,16.63,17.58,,23.24,
10-Year Average,6.89,18.8,,16.54,25.06,37.75,39.13,39.93,,24.11,
