Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,62.6,63.19,61.76,60.79,60.7,61.25,61.7,62.24,63.5,63.97,63.88
Gross Margin,37.4,36.81,38.24,39.21,39.3,38.75,38.3,37.76,36.5,36.03,36.12
SG&A,26.73,27.73,28.57,27.68,27.8,27.67,27.54,27.97,28.87,29.24,29.5
R&D,,,,,,,,,,,
Other,-0.39,,,,,,,,,,
Operating Margin,11.06,9.09,9.67,11.53,11.5,11.08,10.77,9.8,7.63,6.79,6.62
Net Int Inc & Other,2.23,-1.53,-1.6,-1.31,-1.2,-1.32,-1.28,-1.02,-0.87,-2.15,-0.89
EBT Margin,13.29,7.56,8.07,10.22,10.3,9.77,9.48,8.77,6.76,4.64,5.72
