Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,7.72,12.75,-52.52,75.98,13.09,-9.0,30.65,-26.54,19.93,40.79,41.21
3-Year Average,17.82,14.79,-16.77,-1.97,-1.87,21.89,10.37,-4.41,4.8,7.45,
5-Year Average,14.77,16.91,-2.62,4.79,2.79,-0.62,2.35,11.69,3.45,8.08,
10-Year Average,,,,,,6.8,9.39,4.29,4.12,5.4,
