Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,37.83,32.66,27.05,27.09,29.01,29.16,29.56,33.41,37.13,34.77,43.27
Days Inventory,,,,,,,,,,,
Payables Period,29.12,14.59,12.53,,9.79,9.85,9.93,9.22,11.32,11.04,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,9.65,11.17,13.49,13.47,12.58,12.52,12.35,10.92,9.83,10.5,8.43
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,0.49,0.53,0.54,0.55,0.55,0.53,0.51,0.51,0.51,0.56,0.51
Asset Turnover,0.28,0.3,0.32,0.33,0.31,0.32,0.32,0.32,0.3,0.31,0.26
