Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.74,7.19,0.2,-0.24,-20.92,27.0,9.75,6.31,-15.8,21.19,-14.77
3-Year Average,6.34,73.43,6.59,2.33,-7.54,0.07,3.3,14.01,-0.59,2.75,
5-Year Average,6.71,7.26,5.25,39.14,-0.91,1.48,1.96,3.17,-0.27,8.62,
10-Year Average,10.35,10.41,9.8,8.78,5.36,4.06,4.58,4.21,17.8,3.75,
