Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,20.57,21.95,,11.92,23.19,,18.43,,25.9,30.81,28.73
Net Margin %,11.21,6.42,-3.88,11.37,6.38,-0.11,8.19,9.2,16.13,15.9,17.68
Asset Turnover (Average),0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04
Return on Assets %,0.29,0.19,-0.12,0.46,0.27,,0.33,0.39,0.71,0.69,0.79
Financial Leverage (Average),34.65,20.8,20.8,16.96,12.39,12.89,13.28,12.35,11.64,11.89,12.12
Return on Equity %,9.75,5.14,-2.45,8.49,3.82,-0.05,4.31,4.94,8.56,8.09,9.46
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
