Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.51,19.24,-19.05,6.74,19.89,2.82,1.45,-1.91,-22.01,-10.06,18.44
3-Year Average,20.36,20.78,2.79,1.0,1.18,9.58,7.74,0.77,-8.1,-11.72,
5-Year Average,14.97,17.17,10.97,8.77,6.8,4.9,1.56,5.54,-0.88,-6.42,
10-Year Average,9.17,9.91,15.18,8.03,9.14,9.82,9.09,8.22,3.83,-0.02,
