Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-77.48,119.72,171.65,17.68,-38.67,93.57,13.46
3-Year Average,,,,,,,10.36,91.51,25.16,11.79,
5-Year Average,,,,6.04,-31.83,,,,-0.61,52.84,
10-Year Average,,,,-0.82,-11.09,-4.85,43.97,3.51,2.66,2.08,
