Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,-17.5,,,,,,
Asset Turnover (Average),,,,,0.4,,,,,,
Return on Assets %,-4.72,1.73,-2.66,-26.48,-6.93,-54.55,-74.58,-9.95,-10.13,-10.84,-8.31
Financial Leverage (Average),1.28,1.25,1.03,1.04,1.08,1.29,1.01,1.01,1.01,1.01,1.01
Return on Equity %,-6.04,2.18,-3.14,-27.37,-7.53,-62.99,-86.5,-10.05,-10.23,-10.95,-8.4
Return on Invested Capital %,-7.3,1.38,-3.72,-27.94,-10.22,-63.91,-87.43,-10.6,-10.74,-11.39,-8.79
Interest Coverage,,,,,,,,,,,
