Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,,93.51,-31.17,99.24,31.17,
3-Year Average,,,,,,,58.95,,38.45,21.62,
5-Year Average,,,,,,,,,40.66,,
10-Year Average,,,,,,,,,,,
