Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.77,34.23,-12.32,6.86,0.31,35.37,9.91,22.13,0.34,38.8,12.5
3-Year Average,10.83,8.93,6.55,7.94,-2.05,13.21,14.28,22.03,10.43,19.37,
5-Year Average,13.67,16.73,9.88,3.91,5.33,11.3,6.93,14.26,12.83,20.4,
10-Year Average,17.84,19.25,15.46,13.36,11.65,12.48,11.73,12.05,8.28,12.61,
