Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,35.5,49.02,13.0,7.78,-10.74,0.42,-20.41,13.13,20.69,-31.06,
3-Year Average,24.12,30.93,31.65,21.98,2.82,-1.14,-10.65,-3.3,2.81,-2.0,
5-Year Average,26.89,35.45,26.35,22.28,17.03,10.22,-2.77,-2.75,-0.52,-5.53,
10-Year Average,,28.73,,,23.92,18.26,14.76,10.85,10.29,5.14,
