Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,47.0,38.0,40.0,34.0,46.0,44.0,51.0,54.0,58.0,128.0,107.0
Gross Margin %,9.2,-2.8,-15.2,-29.6,15.0,2.2,-2.9,-7.5,-30.3,-43.5,31.0
Operating Income AUD Mil,4.0,7.0,5.0,-1.0,1.0,1.0,-0.0,0.0,-12.0,-231.0,-38.0
Operating Margin %,8.9,18.6,11.3,-2.2,2.6,2.8,-0.3,0.8,-19.8,-181.1,-35.0
Net Income AUD Mil,2.0,6.0,3.0,0.0,6.0,4.0,7.0,8.0,6.0,-81.0,66.0
Earnings Per Share AUD,0.07,0.19,0.1,0.01,0.19,0.08,0.11,0.12,0.07,-0.47,0.19
Dividends AUD,0.06,0.05,0.04,,,0.02,0.04,0.04,0.03,0.01,0.01
Payout Ratio % *,,58.9,86.3,,,10.4,77.5,85.4,261.7,,13.6
Shares Mil,127.0,129.0,132.0,133.0,132.0,190.0,248.0,268.0,311.0,693.0,349.0
Book Value Per Share * AUD,,0.87,0.87,0.9,1.01,0.8,0.73,0.72,0.34,1.14,1.34
Operating Cash Flow AUD Mil,8.0,6.0,-6.0,-2.0,-3.0,-4.0,10.0,-2.0,-2.0,40.0,9.0
Cap Spending AUD Mil,-3.0,-7.0,-15.0,-9.0,-53.0,-12.0,-19.0,-38.0,-257.0,-117.0,-51.0
Free Cash Flow AUD Mil,6.0,-1.0,-21.0,-11.0,-55.0,-16.0,-9.0,-40.0,-258.0,-76.0,-42.0
Free Cash Flow Per Share * AUD,,-0.01,-0.16,-0.08,-0.42,-0.34,-0.06,-0.08,-0.99,-0.12,
Working Capital AUD Mil,7.0,-12.0,-14.0,4.0,7.0,20.0,28.0,22.0,61.0,44.0,
