Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,,,22267.64,21486.57,2233.74,1119.88,,,29.62,7.26,7.26
Days Inventory,,,,,,,,,28.98,33.32,33.32
Payables Period,,,,,,,,,126.87,62.06,62.06
Cash Conversion Cycle,,,,,,,,,-68.27,-21.48,-21.48
Receivables Turnover,,,0.02,0.02,0.16,0.33,,,12.32,50.31,50.31
Inventory Turnover,,,,,,,,,12.59,10.95,10.95
Fixed Assets Turnover,,,0.01,,0.01,0.01,,,0.79,2.01,2.01
Asset Turnover,,,,,,,,,0.59,1.44,1.44
