Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.39,3.2,-7.58,2.67,-0.3,6.75,12.43,9.51,4.98,-11.63,2.98
3-Year Average,2.56,2.47,-0.79,-0.7,-1.84,3.0,6.16,9.54,8.93,0.53,
5-Year Average,0.44,2.9,0.57,0.41,-0.01,0.83,2.57,6.11,6.59,4.05,
10-Year Average,10.55,4.63,1.04,-0.17,-0.87,0.63,2.73,3.3,3.45,2.0,
