Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-1.04,-2.81,-30.82,40.19,27.79,19.35,8.77,9.51,13.32,0.74,-9.84
3-Year Average,5.93,1.39,-12.7,-1.95,7.42,28.83,18.38,12.44,10.52,7.73,
5-Year Average,29.58,14.06,-4.38,0.22,3.58,7.53,9.98,20.56,15.54,10.17,
10-Year Average,24.0,13.28,12.34,18.55,19.92,18.04,12.0,7.37,7.6,6.82,
