Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,,,,,,,,,24.65,16.94,16.94
Days Inventory,,,,,,,,,38.1,26.05,26.05
Payables Period,,,,,,,,,101.04,61.75,61.75
Cash Conversion Cycle,,,,,,,,,-38.3,-18.77,-18.77
Receivables Turnover,,,,,,,,,14.8,21.55,21.55
Inventory Turnover,,,,,,,,,9.58,14.01,14.01
Fixed Assets Turnover,,,,,,,,,1.06,1.75,1.75
Asset Turnover,,,,,,,,,0.81,1.32,1.32
