Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,1.0,2.0,,,,,,,
Gross Margin %,,,10.6,56.5,,,,,,,
Operating Income AUD Mil,-7.0,-4.0,-6.0,-9.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0
Operating Margin %,,,-570.9,-476.4,,,,,,,
Net Income AUD Mil,-6.0,-3.0,-6.0,-9.0,-3.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0
Earnings Per Share AUD,-0.05,-0.03,-0.04,-0.05,-0.01,-0.01,,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,106.0,106.0,143.0,192.0,264.0,444.0,520.0,593.0,781.0,996.0,996.0
Book Value Per Share * AUD,0.13,0.1,0.06,0.01,0.01,0.01,0.01,0.01,,,
Operating Cash Flow AUD Mil,-6.0,-3.0,-3.0,-5.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0
Cap Spending AUD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,
Free Cash Flow AUD Mil,-6.0,-3.0,-3.0,-5.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0
Free Cash Flow Per Share * AUD,-0.06,-0.03,-0.02,-0.02,-0.01,,,,,,
Working Capital AUD Mil,9.0,6.0,3.0,2.0,1.0,4.0,3.0,0.0,-1.0,1.0,
