Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,63.72,63.93,63.66,60.35,61.4,61.07,61.17,61.64,63.08,63.62,63.45
Gross Margin,36.28,36.07,36.34,39.65,38.6,38.93,38.83,38.36,36.92,36.38,36.55
SG&A,22.71,22.47,26.16,24.55,23.35,22.95,22.6,22.69,23.68,25.87,24.97
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,13.57,13.6,10.18,15.11,15.25,15.98,16.24,15.68,13.24,10.52,11.58
Net Int Inc & Other,-1.29,-1.1,-1.67,-1.8,-1.54,-1.93,-1.62,-1.56,-1.73,-0.37,0.49
EBT Margin,12.28,12.5,8.51,13.31,13.71,14.05,14.62,14.11,11.51,10.15,12.07
