Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,,,831.0,
Free Cash Flow Growth % YOY,,,,,,,,,-164.0,,
Cap Ex as a % of Sales,,,,,,,3.61,10.11,1.26,0.2,0.2
Free Cash Flow/Sales %,,,,,,,84.02,62.7,39.18,47.21,47.21
Free Cash Flow/Net Income,,,,,,,20.62,3.26,2.53,2.47,2.47
