Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,78.6,77.09,84.78,83.09,82.16,85.0,87.28,87.57
Gross Margin,,,,21.4,22.91,15.22,16.91,17.84,15.0,12.72,12.43
SG&A,,,,12.91,15.41,13.62,13.53,13.93,14.23,13.63,11.95
R&D,,,,,,,,,,,
Other,,,,,,,0.26,,,2.87,8.05
Operating Margin,,,,9.95,9.58,3.82,4.09,4.82,1.25,-3.24,-7.22
Net Int Inc & Other,,,,-1.1,1.89,-1.24,1.09,-1.11,-1.39,-0.78,0.25
EBT Margin,,,,8.84,11.47,2.58,5.18,3.71,-0.14,-4.02,-6.96
