Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,40.0,71.43,-5.56,,8.24,-14.13,43.99,-16.04,
3-Year Average,,44.23,91.29,,31.36,17.42,0.74,-2.41,10.2,1.25,
5-Year Average,,,49.47,48.41,62.51,,19.66,8.52,4.8,2.36,
10-Year Average,,-27.34,-28.59,22.21,,,,27.02,24.71,28.97,
