Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-2.55,,,-4.86,14.77,3.8,-0.79,12.66,8.68,10.86,
3-Year Average,3.68,,2.86,2.04,,4.26,5.73,5.07,6.7,10.72,
5-Year Average,,,4.47,2.05,3.51,4.82,,4.84,7.67,6.93,
10-Year Average,,,,,,,,4.66,4.82,5.2,
