Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,11.39,14.95,10.83,17.0,15.2,4.0,9.46,18.39,-3.52,10.24
3-Year Average,,,,12.37,14.23,14.31,11.92,9.46,10.46,7.73,
5-Year Average,,,,,,13.85,12.3,11.2,12.68,8.42,
10-Year Average,,,,,,,,,,,
