Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,37.44,-28.49,-33.05,44.4,56.69,-7.21,38.87,5.08,-2.02,-11.77,
3-Year Average,,31.42,-13.02,-11.58,14.85,28.05,26.39,10.63,12.66,-3.15,
5-Year Average,89.97,,,17.02,8.29,0.1,14.31,25.1,15.76,3.2,
10-Year Average,13.3,11.92,0.98,0.77,12.46,37.9,,,16.39,5.71,
