Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,13.03,-43.78,-91.21,761.29,7.99,-17.11,26.78,16.17,17.9,11.73,
3-Year Average,8.86,-16.98,-61.77,-24.78,-6.49,97.55,4.31,6.88,20.19,15.24,
5-Year Average,,9.8,-42.34,-15.41,-12.28,-17.55,-2.99,62.57,9.22,9.97,
10-Year Average,2.96,-4.44,-23.23,-1.39,0.49,,3.21,-3.18,-3.88,-1.78,
