Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,39.47,64.15,-28.74,82.26,-20.35,163.33,30.8,-0.97,27.59
3-Year Average,,,8.93,,17.73,28.71,1.14,56.36,39.99,50.53,
5-Year Average,,,,,8.62,,18.82,34.93,28.93,37.7,
10-Year Average,,,,,,,,,,22.3,
