Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,32.42,29.5,31.21,31.21
Days Inventory,,,,,,,,21.22,18.37,14.91,14.91
Payables Period,,,,,,,,45.97,42.29,41.09,41.09
Cash Conversion Cycle,,,,,,,,7.67,5.58,5.04,5.04
Receivables Turnover,,,,,,,,11.26,12.37,11.69,11.69
Inventory Turnover,,,,,,,,17.2,19.87,24.47,24.47
Fixed Assets Turnover,,,,,,,,3.04,3.0,3.02,3.02
Asset Turnover,,,,,,,,1.13,1.13,1.16,1.16
