Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,50.74,-26.34,17.22,53.67,13.24,-75.32,-53.66
3-Year Average,,,,,,,9.18,9.89,26.82,-24.56,
5-Year Average,,,,,,,,,17.76,-18.0,
10-Year Average,,,,,,,,,,,
