Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.39,-11.43,-40.57,34.12,29.97,24.75,-24.54,12.45,59.18,5.45,-11.65
3-Year Average,,-2.0,-18.36,-10.96,1.19,29.56,6.96,1.92,10.54,23.59,
5-Year Average,,,,-5.58,-1.05,2.74,-0.5,13.04,16.98,12.19,
10-Year Average,,,,,,,,,5.09,5.36,
