Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,230.01,-11.04,-76.59,45.82,28.59,44.67,44.5,
3-Year Average,,,,,,-11.76,-32.79,-24.0,39.47,39.04,
5-Year Average,,,,,,,,5.2,-10.8,-1.71,
10-Year Average,,,,,,,,,,,
