Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,70.73,-55.29,147.05,-19.42,-50.19,83.67,,,-2.45,-7.64
3-Year Average,26.06,15.96,,23.54,-3.81,-0.28,-9.66,,43.58,16.28,
5-Year Average,,64.89,8.86,11.48,,-5.42,-4.03,,3.51,7.54,
10-Year Average,,,,14.74,31.22,,25.8,,7.42,,
