Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,47.04,,,160.64,761.17
Net Margin %,,,,,,-5.5,1.1,11.47,-1.1,-0.55,-0.59
Asset Turnover (Average),,,,,,,1.25,0.44,0.39,0.46,0.44
Return on Assets %,,,,,,,1.37,5.03,-0.43,-0.25,-0.26
Financial Leverage (Average),,,,,,,1.36,1.12,1.32,1.33,1.32
Return on Equity %,,,,,,,1.87,5.73,-0.52,-0.33,-0.35
Return on Invested Capital %,,,,,,,2.15,5.68,-0.24,0.3,0.24
Interest Coverage,,,,,,-2.96,4.99,86.32,0.88,1.46,1.05
