Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,14.79,2.94,5.59,10.31,9.98,2.31,1.36,5.44,2.69,10.66,-1.05
3-Year Average,7.98,8.37,7.66,6.24,8.6,7.47,4.48,3.02,3.15,6.21,
5-Year Average,,5.09,6.47,8.19,8.64,6.17,5.84,5.81,4.31,4.44,
10-Year Average,10.96,10.56,12.39,1.55,0.32,,5.46,6.14,6.23,6.52,
